'NitricOxide','NitrogenDioxide','OxidesofNitrogen','Ozone','WindSpeed','ResultantWindSpeed','ResultantWindDirection','MaximumWindGust','Std.Dev.WindDirection','OutdoorTemperature','DewPointTemperature','RelativeHumidity','SolarRadiation','PM2.5'
0,5.7,5.7,38,14.8,14.1,261,32.4,17,88.1,16.1,7,0.097,46.7
-0.6,6.8,6.1,35,11.9,11.7,288,21.5,11,83.7,19,9,0,44.6
-0.9,2.6,1.7,38,7.4,7.2,307,17.4,15,80.1,22.1,11.6,0,35.1
20.2,18.9,39.3,8,4.5,4.4,121,7.7,15,63.4,25.7,23.8,0.341,46.5
23.8,23.5,47.6,12,3.5,3.1,148,7.7,29,70.1,25.9,19,0.655,48.4
-0.1,3.4,3.5,59,15.5,14,230,31.1,26,80.7,22.3,11.4,1.409,47
0.2,3.9,4.3,42,16,15.4,289,28.8,15,82.1,23.9,11.8,0.656,45.5
-0.6,-0.1,-0.6,43,19.2,18.5,207,39.2,15,89.3,27.8,11,1.452,70.9
-0.7,0.3,-0.4,42,19.2,18.4,202,34.3,16,90.5,28,10.7,1.069,95.9
-1,1.1,0.1,42,19.3,18.2,229,34.7,19,91.9,25.3,9.2,0.826,133.4
-1.2,0.3,-0.9,42,20.9,19.4,247,36.6,22,91.8,21.7,7.8,0.721,237.8
-1.4,-0.1,-1.3,43,23.5,23.1,272,36.7,11,89,20.1,8.1,0.486,324.7
-1.3,0.6,-0.6,49,21.4,20.9,272,35.9,12,87.1,18,7.8,0.282,214.7
-1.2,0.7,-0.5,52,18.9,18.5,272,30.4,12,85.5,17.7,8,0.089,72.3
-1.2,2.3,0.9,48,15,14.7,280,28.2,10,83.1,18.6,9.1,0,49.6
-0.3,1.9,1.7,47,17.8,16.7,240,41.2,20,89.3,17.4,7.1,1.368,97.5
-0.5,3,2.5,49,17.8,16.9,239,34.7,19,90.2,15.2,6.3,1.236,75.2
-1.1,2.4,1.3,56,17.5,17,267,34.3,15,89.5,12.7,5.7,0.664,69.3
-1.2,3,1.9,55,18.3,17.7,264,32.3,14,87.8,14.7,6.6,0.303,130.1
